team,rank,country,level,elo,from,to,league
Celje,,SVN,1,1359.25,2024-12-20,2024-12-31,
Teplice,,CZE,1,1358.23083496,2024-12-20,2024-12-31,
Heracles,,NED,1,1357.99401855,2024-12-22,2024-12-31,
Stromsgodset,,NOR,1,1355.78063965,2024-12-20,2024-12-31,
Slask,,POL,1,1354.75073242,2024-12-20,2024-12-31,
FK Astana,,KAZ,0,1354.60595703,2024-12-20,2024-12-31,
Groningen,,NED,1,1354.40344238,2024-12-22,2024-12-31,
Bohemians Praha,,CZE,1,1353.70617676,2024-12-20,2024-12-31,
Orenburg,,RUS,1,1353.33227539,2024-12-09,2024-12-31,
Lubin,,POL,1,1352.9597168,2024-12-20,2024-12-31,
Red Star,,FRA,2,1351.72619629,2024-12-15,2024-12-31,
Kilmarnock,,SCO,1,1351.46459961,2024-12-30,2024-12-31,
Hibernian,,SCO,1,1350.45324707,2024-12-30,2024-12-31,
Akron Togliatti,,RUS,1,1349.65771484,2024-12-08,2024-12-31,
Braunschweig,,GER,2,1348.46643066,2024-12-22,2024-12-31,
Beitar,,ISR,1,1347.49987793,2024-12-24,2024-12-31,
Lok Zagreb,,CRO,1,1347.11315918,2024-12-22,2024-12-31,
Stal Mielec,,POL,1,1346.59838867,2024-12-20,2024-12-31,
Beerschot AC,,BEL,1,1345.5045166,2024-12-28,2024-12-31,
Katowice,,POL,1,1344.54675293,2024-12-20,2024-12-31,
Paksi,,HUN,1,1344.28564453,2024-12-15,2024-12-31,
Partizan,,SRB,1,1343.76477051,2024-12-22,2024-12-31,
BW Linz,,AUT,1,1342.91113281,2024-12-20,2024-12-31,
Almere,,NED,1,1341.90063477,2024-12-22,2024-12-31,
Olexandriya,,UKR,1,1340.44445801,2024-12-15,2024-12-31,
Kayseri,,TUR,1,1339.32080078,2024-12-23,2024-12-31,
Motor Lublin,,POL,1,1338.46240234,2024-12-20,2024-12-31,
Waalwijk,,NED,1,1338.15161133,2024-12-21,2024-12-31,
Puszcza Niepolomice,,POL,1,1334.87524414,2024-12-20,2024-12-31,
FC Khimki,,RUS,1,1333.9967041,2024-12-09,2024-12-31,
Varnamo,,SWE,1,1333.56762695,2024-12-20,2024-12-31,
Goeteborg,,SWE,1,1332.90112305,2024-12-20,2024-12-31,
Korona,,POL,1,1332.84423828,2024-12-20,2024-12-31,
Aalborg,,DEN,1,1332.08483887,2024-12-20,2024-12-31,
Nizhny Novgorod,,RUS,1,1331.2791748,2024-12-08,2024-12-31,
Kryvbas,,UKR,1,1330.46728516,2024-12-15,2024-12-31,
Viitorul,,ROM,1,1329.44506836,2024-12-22,2024-12-31,
Radomiak,,POL,1,1328.98864746,2024-12-20,2024-12-31,
St Mirren,,SCO,1,1328.57983398,2024-12-30,2024-12-31,
SonderjyskE,,DEN,1,1328.18664551,2024-12-20,2024-12-31,
Diosgyori,,HUN,1,1327.5201416,2024-12-15,2024-12-31,
Pardubice,,CZE,1,1326.80090332,2024-12-20,2024-12-31,
Varazdin,,CRO,1,1326.1237793,2024-12-23,2024-12-31,
Adana Demirspor,,TUR,1,1325.1517334,2024-12-24,2024-12-31,
Sandefjord,,NOR,1,1324.90380859,2024-12-20,2024-12-31,
GAIS,,SWE,1,1323.34448242,2024-12-20,2024-12-31,
CSKA Sofia,,BUL,1,1323.30639648,2024-12-13,2024-12-31,
Motherwell,,SCO,1,1323.20935059,2024-12-30,2024-12-31,
Klagenfurt,,AUT,1,1320.05273438,2024-12-20,2024-12-31,
Dynamo Makhachkala,,RUS,1,1319.73620605,2024-12-08,2024-12-31,
Grasshoppers,,SUI,1,1318.39025879,2024-12-20,2024-12-31,
Haugesund,,NOR,1,1318.0279541,2024-12-20,2024-12-31,
Zira,,AZE,0,1317.5970459,2024-12-13,2024-12-31,
Norrkoeping,,SWE,1,1316.66271973,2024-12-20,2024-12-31,
Dunajska,,SLK,0,1316.56225586,2024-12-12,2024-12-31,
Lyngby,,DEN,1,1316.43652344,2024-12-20,2024-12-31,
Karvina,,CZE,1,1316.23254395,2024-12-20,2024-12-31,
KFUM Oslo,,NOR,1,1315.93359375,2024-12-20,2024-12-31,
Panetolikos,,GRE,1,1314.81872559,2024-12-23,2024-12-31,
Kalmar,,SWE,1,1314.74023438,2024-12-20,2024-12-31,
Dundee United,,SCO,1,1314.73510742,2024-12-30,2024-12-31,
OFI,,GRE,1,1314.51245117,2024-12-24,2024-12-31,
Regensburg,,GER,2,1312.74365234,2024-12-23,2024-12-31,
Dinamo Bucuresti,,ROM,1,1312.4005127,2024-12-23,2024-12-31,
Bodrum,,TUR,1,1310.6661377,2024-12-23,2024-12-31,
Ham-Kam,,NOR,1,1309.38317871,2024-12-20,2024-12-31,
Videoton,,HUN,1,1309.0925293,2024-12-15,2024-12-31,
Sabah,,AZE,0,1307.12268066,2024-12-13,2024-12-31,
Polissya Zhytomyr,,UKR,1,1306.1418457,2024-12-16,2024-12-31,
Rukh Lviv,,UKR,1,1304.87744141,2024-12-16,2024-12-31,
UTA Arad,,ROM,1,1302.64587402,2024-12-24,2024-12-31,
Martigues,,FRA,2,1300.00646973,2024-12-14,2024-12-31,
Ujpest,,HUN,1,1299.82434082,2024-12-16,2024-12-31,
Vejle,,DEN,1,1298.89318848,2024-12-20,2024-12-31,
Zrinjski Mostar,,BHZ,0,1298.61560059,2024-12-20,2024-12-31,
Atromitos,,GRE,1,1297.8190918,2024-12-23,2024-12-31,
Yverdon Sport,,SUI,1,1297.49951172,2024-12-20,2024-12-31,
Wisla,,POL,0,1296.79272461,2024-12-20,2024-12-31,
Kristiansund,,NOR,1,1296.0703125,2024-12-20,2024-12-31,
Brommapojkarna,,SWE,1,1295.88378906,2024-12-20,2024-12-31,
Bnei Sakhinin,,ISR,1,1295.49499512,2024-12-15,2024-12-31,
Backa Topola,,SRB,1,1295.03149414,2024-12-27,2024-12-31,
Asteras Tripolis,,GRE,1,1294.71179199,2024-12-24,2024-12-31,
Istra 1961,,CRO,1,1294.2364502,2024-12-21,2024-12-31,
Sumqayit,,AZE,0,1294.0402832,2024-12-13,2024-12-31,
Pyunik,,ARM,0,1293.49389648,2024-12-20,2024-12-31,
Koper,,SVN,1,1293.31616211,2024-12-20,2024-12-31,
MTK,,HUN,1,1293.19421387,2024-12-15,2024-12-31,
Petrolul Ploiesti,,ROM,1,1292.71154785,2024-12-23,2024-12-31,
Wattens,,AUT,1,1291.91699219,2024-12-20,2024-12-31,
Winterthur,,SUI,1,1291.75512695,2024-12-20,2024-12-31,
Zorya,,UKR,1,1290.33447266,2024-12-15,2024-12-31,
Hermannstadt,,ROM,1,1288.00927734,2024-12-22,2024-12-31,
Hapoel Jerusalem,,ISR,1,1287.82397461,2024-12-17,2024-12-31,
Halmstad,,SWE,1,1287.03283691,2024-12-20,2024-12-31,
Dundee,,SCO,1,1285.57958984,2024-12-30,2024-12-31,
Vaduz,,LIE,0,1285.23974609,2024-12-20,2024-12-31,
Shamrock,,IRL,0,1281.63647461,2024-12-20,2024-12-31,
FK Riga,,LAT,0,1281.25976562,2024-12-13,2024-12-31,
Zalaegerszegi,,HUN,1,1279.52600098,2024-12-15,2024-12-31,
Hatayspor,,TUR,1,1277.68310547,2024-12-24,2024-12-31,
Kuopio,,FIN,0,1277.19067383,2024-12-20,2024-12-31,
Altach,,AUT,1,1277.10498047,2024-12-20,2024-12-31,
Novi Sad,,SRB,1,1276.43188477,2024-12-22,2024-12-31,
Lechia,,POL,1,1275.99267578,2024-12-20,2024-12-31,
Slaven Belupo,,CRO,1,1273.74279785,2024-12-23,2024-12-31,
NFC Volos,,GRE,1,1273.51574707,2024-12-24,2024-12-31,
Lillestrom,,NOR,1,1272.24829102,2024-12-20,2024-12-31,
Netanya,,ISR,1,1272.09692383,2024-12-15,2024-12-31,
Maccabi Bnei Raina,,ISR,1,1271.80041504,2024-12-15,2024-12-31,
Bravo,,SVN,1,1271.55639648,2024-12-20,2024-12-31,
Arda,,BUL,1,1271.10229492,2024-12-13,2024-12-31,
GAK,,AUT,1,1270.23425293,2024-12-20,2024-12-31,
Odd Grenland,,NOR,1,1268.9050293,2024-12-20,2024-12-31,
Botev Plovdiv,,BUL,1,1266.6072998,2024-12-20,2024-12-31,
Otelul Galati,,ROM,1,1264.83374023,2024-12-23,2024-12-31,
Panserraikos,,GRE,1,1264.55163574,2024-12-23,2024-12-31,
Levadeiakos,,GRE,1,1264.35913086,2024-12-23,2024-12-31,
Noah,,ARM,0,1264.0534668,2024-12-20,2024-12-31,
Ashdod,,ISR,1,1263.85046387,2024-12-15,2024-12-31,
Kiryat Shmona,,ISR,1,1260.77575684,2024-12-15,2024-12-31,
Vikingur,,ISL,0,1260.73364258,2024-12-20,2024-12-31,
St Patricks,,IRL,0,1259.66601562,2024-12-20,2024-12-31,
Debrecen,,HUN,1,1256.9954834,2024-12-15,2024-12-31,
RFS,,LAT,0,1251.86962891,2024-12-13,2024-12-31,
Kecskemeti,,HUN,1,1246.21228027,2024-12-16,2024-12-31,
Ross County,,SCO,1,1245.52416992,2024-12-30,2024-12-31,
HNK Gorica,,CRO,1,1244.97790527,2024-12-22,2024-12-31,
Gyoer,,HUN,1,1244.25524902,2024-12-15,2024-12-31,
HJK Helsinki,,FIN,0,1239.10522461,2024-12-20,2024-12-31,
Lamia,,GRE,1,1238.57324219,2024-12-22,2024-12-31,
Dukla,,CZE,1,1238.18103027,2024-12-20,2024-12-31,
Aktobe,,KAZ,0,1237.74133301,2024-12-20,2024-12-31,
CSKA 1948 Sofia,,BUL,1,1236.17883301,2024-12-13,2024-12-31,
Cukaricki,,SRB,1,1234.51318359,2024-12-23,2024-12-31,
Shelbourne,,IRL,0,1233.42785645,2024-12-20,2024-12-31,
Kolos,,UKR,1,1231.64794922,2024-12-16,2024-12-31,
Borac Banja Luka,,BHZ,0,1231.2331543,2024-12-20,2024-12-31,
St Johnstone,,SCO,1,1231.203125,2024-12-30,2024-12-31,
FK Sarajevo,,BHZ,0,1230.94824219,2024-12-20,2024-12-31,
Nyiregyhaza,,HUN,1,1229.71374512,2024-12-16,2024-12-31,
Ararat,,ARM,0,1229.59350586,2024-12-20,2024-12-31,
Kalithea,,GRE,1,1229.35620117,2024-12-23,2024-12-31,
Tobol,,KAZ,0,1228.64819336,2024-12-20,2024-12-31,
Iasi,,ROM,1,1226.63757324,2024-12-24,2024-12-31,
Botosani,,ROM,1,1225.20568848,2024-12-24,2024-12-31,
M Petach Tikva,,ISR,1,1223.91577148,2024-12-15,2024-12-31,
Kragujevac,,SRB,1,1221.6652832,2024-12-22,2024-12-31,
Derry City,,IRL,0,1221.51342773,2024-12-20,2024-12-31,
LNZ,,UKR,1,1221.23510742,2024-12-15,2024-12-31,
Hapoel Eran Hadera,,ISR,1,1219.67749023,2024-12-15,2024-12-31,
Drita,,KOS,0,1217.79748535,2024-08-30,2024-12-31,
Vaesteras,,SWE,1,1217.39196777,2024-12-20,2024-12-31,
Mura,,SVN,1,1213.93212891,2024-12-20,2024-12-31,
Vorskla,,UKR,1,1213.77233887,2024-12-14,2024-12-31,
Dinamo Minsk,,BLR,0,1213.3963623,2024-12-20,2024-12-31,
Ironi Tiberias,,ISR,1,1212.1574707,2024-12-24,2024-12-31,
Unirea Slobozia,,ROM,1,1211.31347656,2024-12-23,2024-12-31,
Ilves Tampere,,FIN,0,1208.48547363,2024-12-20,2024-12-31,
Corvinul Hunedoara,,ROM,0,1207.73303223,2024-12-13,2024-12-31,
Karpaty,,UKR,1,1207.68200684,2024-12-15,2024-12-31,
Zalgiris Vilnius,,LIT,0,1206.70324707,2024-08-30,2024-12-31,
Veres,,UKR,1,1206.64257812,2024-12-17,2024-12-31,
Banants,,ARM,0,1205.81433105,2024-12-20,2024-12-31,
Breidablik,,ISL,0,1203.94091797,2024-12-20,2024-12-31,
Ceske Budejovice,,CZE,1,1203.88586426,2024-12-20,2024-12-31,
Ordabasy,,KAZ,0,1203.40258789,2024-12-20,2024-12-31,
Radomlje,,SVN,1,1203.36804199,2024-12-20,2024-12-31,
Auda,,LAT,0,1199.93029785,2024-12-13,2024-12-31,
Valur,,ISL,0,1196.94055176,2024-12-20,2024-12-31,
Velez Mostar,,BHZ,0,1196.47045898,2024-12-20,2024-12-31,
Petrocub,,MOL,0,1196.45617676,2024-12-20,2024-12-31,
Obolon Kyiv,,UKR,1,1192.21472168,2024-12-16,2024-12-31,
Levski Krumovgrad,,BUL,1,1191.65893555,2024-12-13,2024-12-31,
Slavia Sofia,,BUL,1,1189.18652344,2024-12-13,2024-12-31,
Vaasa,,FIN,0,1189.03112793,2024-12-20,2024-12-31,
Sibenik,,CRO,1,1185.39001465,2024-12-23,2024-12-31,
Ballkani,,KOS,0,1184.97155762,2024-08-30,2024-12-31,
Beroe Stara Zagora,,BUL,1,1180.18249512,2024-12-13,2024-12-31,
Gloria Buzau,,ROM,1,1178.23095703,2024-12-22,2024-12-31,
Saburtalo,,GEO,0,1178.19897461,2024-08-16,2024-12-31,
Lok Plovdiv,,BUL,1,1178.18127441,2024-12-13,2024-12-31,
Liepajas,,LAT,0,1177.38354492,2024-12-13,2024-12-31,
Shkendija,,MAC,0,1177.32739258,2024-07-31,2024-12-31,
Primorje,,SVN,1,1176.31469727,2024-12-20,2024-12-31,
Milsami Orhei,,MOL,0,1169.62426758,2024-12-20,2024-12-31,
Chernomorets,,UKR,1,1168.57324219,2024-12-15,2024-12-31,
Livyi Bereh,,UKR,1,1168.03100586,2024-12-14,2024-12-31,
Stjarnan,,ISL,0,1166.4329834,2024-12-20,2024-12-31,
Torpedo Kutaisi,,GEO,0,1164.16381836,2024-08-16,2024-12-31,
Mladost Lucani,,SRB,1,1160.9453125,2024-12-21,2024-12-31,
Klaksvik,,FAR,0,1159.95324707,2024-08-30,2024-12-31,
Partizani Tirana,,ALB,0,1156.84179688,2024-08-02,2024-12-31,
Zimbru,,MOL,0,1155.95031738,2024-12-20,2024-12-31,
Inhulets,,UKR,1,1153.46020508,2024-12-16,2024-12-31,
Domzale,,SVN,1,1148.99597168,2024-12-20,2024-12-31,
Novi Pazar,,SRB,1,1147.14477539,2024-12-21,2024-12-31,
Spartak Varna,,BUL,1,1145.16003418,2024-12-13,2024-12-31,
Batumi,,GEO,0,1143.13012695,2024-08-16,2024-12-31,
Flora Tallinn,,EST,0,1142.63122559,2024-08-16,2024-12-31,
Egnatia,,ALB,0,1135.38818359,2024-08-02,2024-12-31,
Panevezys,,LIT,0,1127.44165039,2024-08-30,2024-12-31,
The New Saints,,WAL,0,1127.13720703,2024-12-20,2024-12-31,
TransINVEST,,LIT,0,1124.7097168,2024-08-30,2024-12-31,
OFK,,SRB,1,1119.74267578,2024-12-24,2024-12-31,
Vllaznia,,ALB,0,1117.92810059,2024-08-02,2024-12-31,
Neman Grodno,,BLR,0,1115.80456543,2024-12-20,2024-12-31,
Tikves,,MAC,0,1114.75292969,2024-07-31,2024-12-31,
Tirana,,ALB,0,1114.69067383,2024-08-02,2024-12-31,
Nis,,SRB,1,1112.63525391,2024-12-22,2024-12-31,
Zlatibor,,SRB,1,1111.68933105,2024-12-23,2024-12-31,
Zeleznicar Pancevo,,SRB,1,1110.62072754,2024-12-22,2024-12-31,
Isloch,,BLR,0,1107.75524902,2024-12-20,2024-12-31,
Dinamo Tbilisi,,GEO,0,1106.90856934,2024-08-16,2024-12-31,
Siauliai,,LIT,0,1105.91015625,2024-08-30,2024-12-31,
Linfield,,NIR,0,1102.65942383,2024-12-20,2024-12-31,
Krusevac,,SRB,1,1101.4954834,2024-12-23,2024-12-31,
Hamrun,,MLT,0,1098.66833496,2024-08-02,2024-12-31,
IMT,,SRB,1,1094.50146484,2024-12-27,2024-12-31,
Septemvri Sofia,,BUL,1,1090.28881836,2024-12-13,2024-12-31,
Nafta,,SVN,1,1088.9666748,2024-12-20,2024-12-31,
Lok Sofia,,BUL,1,1088.68469238,2024-12-13,2024-12-31,
Struga,,MAC,0,1087.32653809,2024-07-31,2024-12-31,
Mornar,,MNT,0,1085.00390625,2024-08-16,2024-12-31,
Niedercorn,,LUX,0,1084.9855957,2024-08-02,2024-12-31,
Decic,,MNT,0,1084.34790039,2024-08-16,2024-12-31,
Dudelange,,LUX,0,1081.26477051,2024-08-02,2024-12-31,
Llapi,,KOS,0,1075.31604004,2024-08-30,2024-12-31,
Torpedo Zhodino,,BLR,0,1075.11975098,2024-12-20,2024-12-31,
Paide Linnameeskond,,EST,0,1074.60168457,2024-08-16,2024-12-31,
Crusaders,,NIR,0,1074.38952637,2024-12-20,2024-12-31,
B 36 Torshavn,,FAR,0,1067.34130859,2024-08-30,2024-12-31,
Una Strassen,,LUX,0,1066.4753418,2024-08-02,2024-12-31,
Differdang,,LUX,0,1065.87243652,2024-08-02,2024-12-31,
Gota,,FAR,0,1061.19055176,2024-08-30,2024-12-31,
Malisheva,,KOS,0,1059.91247559,2024-08-30,2024-12-31,
Botev Vratsa,,BUL,1,1057.83190918,2024-12-13,2024-12-31,
Larne,,NIR,0,1053.89489746,2024-12-20,2024-12-31,
Floriana,,MLT,0,1053.81933594,2024-08-02,2024-12-31,
Hebar,,BUL,1,1051.63891602,2024-12-13,2024-12-31,
HB Torshavn,,FAR,0,1050.90234375,2024-08-30,2024-12-31,
Cliftonville,,NIR,0,1050.16418457,2024-12-20,2024-12-31,
Marsaxlokk,,MLT,0,1048.00817871,2024-08-02,2024-12-31,
FC Infonet,,EST,0,1047.51000977,2024-08-16,2024-12-31,
Kalev,,EST,0,1044.25756836,2024-08-16,2024-12-31,
Sliema Wanderers,,MLT,0,1039.95922852,2024-08-02,2024-12-31,
Tekstilac Odzaci,,SRB,1,1038.13696289,2024-12-23,2024-12-31,
Podgorica,,MNT,0,1037.45458984,2024-08-16,2024-12-31,
Caernarfon Town,,WAL,0,1006.66442871,2024-12-20,2024-12-31,
Bala,,WAL,0,995.759460449,2024-12-20,2024-12-31,
Connahs Quay,,WAL,0,995.107849121,2024-12-20,2024-12-31,
Jedinstvo Ub,,SRB,1,993.407165527,2024-12-23,2024-12-31,
Escaldes,,AND,0,965.057250977,2024-08-30,2024-12-31,
Lincoln,,GIB,0,963.252685547,2024-08-30,2024-12-31,
St Josephs,,GIB,0,907.828308105,2024-08-30,2024-12-31,
Escale,,AND,0,901.204467773,2024-08-30,2024-12-31,
FCB Magpies,,GIB,0,896.844543457,2024-08-30,2024-12-31,
Atletic Club Escaldes,,AND,0,879.769836426,2024-08-30,2024-12-31,
SS Virtus,,SMR,0,708.074829102,2024-08-02,2024-12-31,
Tre Penne,,SMR,0,695.420898438,2024-08-02,2024-12-31,
La Fiorita,,SMR,0,690.110168457,2024-08-02,2024-12-31,
